OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,used,central,0,0.0,2.5,20,1000,0,1,1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x
L,used,down,0,0.0,2.5,20,1000,0,1,(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1-(0.0451677+2.39201e-05*x+-4.10386e-08*x*x))
L,used,down_correlated,0,0.0,2.5,20,1000,0,1,(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1-(0.0420152+2.58839e-05*x+-4.43369e-08*x*x))
L,used,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1-(0.0165515))
L,used,up,0,0.0,2.5,20,1000,0,1,(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1+(0.0451677+2.39201e-05*x+-4.10386e-08*x*x))
L,used,up_correlated,0,0.0,2.5,20,1000,0,1,(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1+(0.0420152+2.58839e-05*x+-4.43369e-08*x*x))
L,used,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1+(0.0165515))
M,used,central,0,0.0,2.5,20,1000,0,1,1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x
M,used,down,0,0.0,2.5,20,1000,0,1,(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1-(0.105199+0.000131959*x+-1.54288e-07*x*x))
M,used,down_correlated,0,0.0,2.5,20,1000,0,1,(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1-(0.0927762+0.000145288*x+-1.70096e-07*x*x))
M,used,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1-(0.0506008))
M,used,up,0,0.0,2.5,20,1000,0,1,(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1+(0.105199+0.000131959*x+-1.54288e-07*x*x))
M,used,up_correlated,0,0.0,2.5,20,1000,0,1,(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1+(0.0927762+0.000145288*x+-1.70096e-07*x*x))
M,used,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1+(0.0506008))
T,used,central,0,0.0,2.5,20,1000,0,1,1.46004+212.125/(x*x)+0.000213896*x
T,used,down,0,0.0,2.5,20,1000,0,1,(1.46004+212.125/(x*x)+0.000213896*x)*(1-(0.198014+0.000113797*x+-1.20831e-07*x*x))
T,used,down_correlated,0,0.0,2.5,20,1000,0,1,(1.46004+212.125/(x*x)+0.000213896*x)*(1-(0.17297+0.00011942*x+-1.35081e-07*x*x))
T,used,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.46004+212.125/(x*x)+0.000213896*x)*(1-(0.106042))
T,used,up,0,0.0,2.5,20,1000,0,1,(1.46004+212.125/(x*x)+0.000213896*x)*(1+(0.198014+0.000113797*x+-1.20831e-07*x*x))
T,used,up_correlated,0,0.0,2.5,20,1000,0,1,(1.46004+212.125/(x*x)+0.000213896*x)*(1+(0.17297+0.00011942*x+-1.35081e-07*x*x))
T,used,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.46004+212.125/(x*x)+0.000213896*x)*(1+(0.106042))
L,used,central,4,0.0,2.5,20,1000,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)
L,used,central,5,0.0,2.5,20,1000,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)
L,used,down,4,0.0,2.5,20,30,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.045175395905971527
L,used,down,4,0.0,2.5,30,50,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.021249687299132347
L,used,down,4,0.0,2.5,50,70,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.025818251073360443
L,used,down,4,0.0,2.5,70,100,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.031317386776208878
L,used,down,4,0.0,2.5,100,140,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.049892473965883255
L,used,down,4,0.0,2.5,140,200,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.084458671510219574
L,used,down,4,0.0,2.5,200,300,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.085751265287399292
L,used,down,4,0.0,2.5,300,600,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.1421181708574295
L,used,down,4,0.0,2.5,600,1000,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.16112560033798218
L,used,down,5,0.0,2.5,20,30,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.018070157617330551
L,used,down,5,0.0,2.5,30,50,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0084998747333884239
L,used,down,5,0.0,2.5,50,70,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.010327300056815147
L,used,down,5,0.0,2.5,70,100,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.012526954524219036
L,used,down,5,0.0,2.5,100,140,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.019956989213824272
L,used,down,5,0.0,2.5,140,200,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.033783469349145889
L,used,down,5,0.0,2.5,200,300,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.034300506114959717
L,used,down,5,0.0,2.5,300,600,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.056847270578145981
L,used,down,5,0.0,2.5,600,1000,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.06445024162530899
L,used,down_correlated,4,0.0,2.5,100,140,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0468846838128
L,used,down_correlated,4,0.0,2.5,70,100,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0285849067571
L,used,down_correlated,4,0.0,2.5,200,300,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0745864558686
L,used,down_correlated,4,0.0,2.5,300,600,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.13062019832
L,used,down_correlated,4,0.0,2.5,140,200,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0806443461237
L,used,down_correlated,4,0.0,2.5,50,70,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0237021127922
L,used,down_correlated,4,0.0,2.5,20,30,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0383784197964
L,used,down_correlated,4,0.0,2.5,600,1000,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.126798668126
L,used,down_correlated,4,0.0,2.5,30,50,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0153669914229
L,used,down_correlated,5,0.0,2.5,100,140,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0187538731317
L,used,down_correlated,5,0.0,2.5,70,100,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.011433962418
L,used,down_correlated,5,0.0,2.5,200,300,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.029834582141
L,used,down_correlated,5,0.0,2.5,300,600,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0522480817478
L,used,down_correlated,5,0.0,2.5,140,200,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0322577393452
L,used,down_correlated,5,0.0,2.5,50,70,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.00948084467256
L,used,down_correlated,5,0.0,2.5,20,30,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0153513671681
L,used,down_correlated,5,0.0,2.5,600,1000,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.050719469783
L,used,down_correlated,5,0.0,2.5,30,50,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.00614679633436
L,used,down_uncorrelated,4,0.0,2.5,100,140,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0170612245225
L,used,down_uncorrelated,4,0.0,2.5,70,100,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0127938196086
L,used,down_uncorrelated,4,0.0,2.5,200,300,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0423100472625
L,used,down_uncorrelated,4,0.0,2.5,300,600,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0559994489148
L,used,down_uncorrelated,4,0.0,2.5,140,200,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0250949523124
L,used,down_uncorrelated,4,0.0,2.5,50,70,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0102367933296
L,used,down_uncorrelated,4,0.0,2.5,20,30,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0238309313539
L,used,down_uncorrelated,4,0.0,2.5,600,1000,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0994160794119
L,used,down_uncorrelated,4,0.0,2.5,30,50,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0146766748591
L,used,down_uncorrelated,5,0.0,2.5,100,140,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.00682448980069
L,used,down_uncorrelated,5,0.0,2.5,70,100,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.00511752802382
L,used,down_uncorrelated,5,0.0,2.5,200,300,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0169240192688
L,used,down_uncorrelated,5,0.0,2.5,300,600,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0223997795939
L,used,down_uncorrelated,5,0.0,2.5,140,200,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0100379805541
L,used,down_uncorrelated,5,0.0,2.5,50,70,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.00409471742105
L,used,down_uncorrelated,5,0.0,2.5,20,30,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.00953237233773
L,used,down_uncorrelated,5,0.0,2.5,600,1000,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0397664309499
L,used,down_uncorrelated,5,0.0,2.5,30,50,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)-0.0058706699198
L,used,up,4,0.0,2.5,20,30,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)+0.045175395905971527
L,used,up,4,0.0,2.5,30,50,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)+0.021249687299132347
L,used,up,4,0.0,2.5,50,70,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)+0.025818251073360443
L,used,up,4,0.0,2.5,70,100,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)+0.031317386776208878
L,used,up,4,0.0,2.5,100,140,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)+0.049892473965883255
L,used,up,4,0.0,2.5,140,200,0,1,1.01708*(1.+0.00602377*x)/(1.+0.00655895*x)+0.084458671510219574
