DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))" 
0, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.18938+(-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))" 
0, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.066913604736328125)" 
0, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.022445268929004669)" 
0, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.038194604218006134)" 
0, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.076192870736122131)" 
0, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.10599261522293091)" 
0, used, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.15883646905422211)" 
0, used, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.15170834958553314)" 
0, used, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.17656436562538147)" 
0, used, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.20610496401786804)" 
0, used, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.02676544152200222)" 
0, used, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.18938+((-(0.00857773*(log(x+19)*(log(x+18)*(3-(0.383848*log(x+18)))))))-0.0089781079441308975)" 
