DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))" 
0, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))" 
0, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.056052599102258682)" 
0, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.017827920615673065)" 
0, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.028752963989973068)" 
0, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.054694004356861115)" 
0, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.10914903879165649)" 
0, used, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.15638187527656555)" 
0, used, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.16991837322711945)" 
0, used, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.080354198813438416)" 
0, used, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.20538808405399323)" 
0, used, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.022421039640903473)" 
0, used, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.0071311686187982559)" 
0, used, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.011501185595989227)" 
0, used, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.021877601742744446)" 
0, used, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.043659616261720657)" 
0, used, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.062552750110626221)" 
0, used, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.067967347800731659)" 
0, used, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.032141678035259247)" 
0, used, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.05494+((-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18)))))))-0.082155235111713409)" 
0, used, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.056052599102258682" 
0, used, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.017827920615673065" 
0, used, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.028752963989973068" 
0, used, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.054694004356861115" 
0, used, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.10914903879165649" 
0, used, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.15638187527656555" 
0, used, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.16991837322711945" 
0, used, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.080354198813438416" 
0, used, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.20538808405399323" 
0, used, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.022421039640903473" 
0, used, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.0071311686187982559" 
0, used, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.011501185595989227" 
0, used, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.021877601742744446" 
0, used, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.043659616261720657" 
0, used, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.062552750110626221" 
0, used, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.067967347800731659" 
0, used, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.032141678035259247" 
0, used, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.05494+(-(0.00298676*(log(x+19)*(log(x+18)*(3-(0.397155*log(x+18))))))))+0.082155235111713409" 
1, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))" 
1, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))" 
1, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.1013047993183136)" 
1, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.035399273037910461)" 
1, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.068935684859752655)" 
1, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.099930807948112488)" 
1, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.15480698645114899)" 
1, used, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.14670382440090179)" 
1, used, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.31118893623352051)" 
1, used, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.20339107513427734)" 
1, used, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.24076816439628601)" 
1, used, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.033768266439437866)" 
1, used, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.011799758300185204)" 
1, used, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.022978560999035835)" 
1, used, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.033310268074274063)" 
1, used, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.051602330058813095)" 
1, used, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.048901274800300598)" 
1, used, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.10372965037822723)" 
1, used, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.06779702752828598)" 
1, used, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.14597+((-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18)))))))-0.080256052315235138)" 
1, used, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.1013047993183136" 
1, used, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.035399273037910461" 
1, used, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.068935684859752655" 
1, used, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.099930807948112488" 
1, used, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.15480698645114899" 
1, used, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.14670382440090179" 
1, used, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.31118893623352051" 
1, used, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.20339107513427734" 
1, used, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.24076816439628601" 
1, used, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.033768266439437866" 
1, used, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.011799758300185204" 
1, used, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.022978560999035835" 
1, used, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.033310268074274063" 
1, used, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.051602330058813095" 
1, used, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.048901274800300598" 
1, used, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.14597+(-(0.007686*(log(x+19)*(log(x+18)*(3-(0.392335*log(x+18))))))))+0.10372965037822723" 
