DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18))" 
0, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18))" 
0, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18))-0.055553346872329712" 
0, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18))-0.019868604838848114" 
0, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18))-0.042098797857761383" 
0, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18))-0.033397454768419266" 
0, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18))-0.078095510601997375" 
0, used, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18))-0.15594883263111115" 
0, used, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18))-0.1248721182346344" 
0, used, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18))-0.15522967278957367" 
0, used, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18))-0.17055061459541321" 
