OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,used,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x
L,used,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x)*(1-(0.0663918+6.22127e-05*x+-9.14037e-08*x*x))
L,used,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x)*(1-(0.0435875+9.01961e-05*x+-1.30403e-07*x*x))
L,used,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x)*(1-(0.0490189))
L,used,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x)*(1+(0.0663918+6.22127e-05*x+-9.14037e-08*x*x))
L,used,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x)*(1+(0.0435875+9.01961e-05*x+-1.30403e-07*x*x))
L,used,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.34198+-0.000555031*x+3.20633e-07*x*x+0.888495/x)*(1+(0.0490189))
M,used,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x
M,used,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x)*(1-(0.117907+0.000250773*x+-3.04922e-07*x*x))
M,used,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x)*(1-(0.0918339+0.000299479*x+-3.61757e-07*x*x))
M,used,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x)*(1-(0.0738386))
M,used,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x)*(1+(0.117907+0.000250773*x+-3.04922e-07*x*x))
M,used,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x)*(1+(0.0918339+0.000299479*x+-3.61757e-07*x*x))
M,used,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.35875+-0.000916722*x+6.33425e-07*x*x+-2.07301/x)*(1+(0.0738386))
T,used,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,0.850069+1.99726/sqrt(x)
T,used,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.850069+1.99726/sqrt(x))*(1-(0.191031+0.000297068*x+-3.60129e-07*x*x))
T,used,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.850069+1.99726/sqrt(x))*(1-(0.170404+0.000308588*x+-3.73869e-07*x*x))
T,used,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.850069+1.99726/sqrt(x))*(1-(0.0917417))
T,used,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.850069+1.99726/sqrt(x))*(1+(0.191031+0.000297068*x+-3.60129e-07*x*x))
T,used,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.850069+1.99726/sqrt(x))*(1+(0.170404+0.000308588*x+-3.73869e-07*x*x))
T,used,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.850069+1.99726/sqrt(x))*(1+(0.0917417))
M,used,central,4,0.0,2.5,20.0,1000.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18)) 
M,used,central,5,0.0,2.5,20.0,1000.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18)) 
M,used,down,4,0.0,2.5,20.0,30.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.10161054879426956 
M,used,down,4,0.0,2.5,30.0,50.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.035399686545133591 
M,used,down,4,0.0,2.5,50.0,70.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.06895911693572998 
M,used,down,4,0.0,2.5,70.0,100.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.099951282143592834 
M,used,down,4,0.0,2.5,100.0,140.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.1548914760351181 
M,used,down,4,0.0,2.5,140.0,200.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.14670747518539429 
M,used,down,4,0.0,2.5,200.0,300.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.31119099259376526 
M,used,down,4,0.0,2.5,300.0,600.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.20338542759418488 
M,used,down,4,0.0,2.5,600.0,1000.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.24076986312866211 
M,used,down,5,0.0,2.5,20.0,30.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.033870182931423187 
M,used,down,5,0.0,2.5,30.0,50.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.011799895204603672 
M,used,down,5,0.0,2.5,50.0,70.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.02298637293279171 
M,used,down,5,0.0,2.5,70.0,100.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.033317092806100845 
M,used,down,5,0.0,2.5,100.0,140.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.051630493253469467 
M,used,down,5,0.0,2.5,140.0,200.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.048902492970228195 
M,used,down,5,0.0,2.5,200.0,300.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.10373032838106155 
M,used,down,5,0.0,2.5,300.0,600.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.067795142531394958 
M,used,down,5,0.0,2.5,600.0,1000.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.080256618559360504 
M,used,down_bfragmentation,4,0.0,2.5,20.0,30.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.019117563962936401 
M,used,down_bfragmentation,4,0.0,2.5,30.0,50.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.013839659281075001 
M,used,down_bfragmentation,4,0.0,2.5,50.0,70.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.0085573121905326843 
M,used,down_bfragmentation,4,0.0,2.5,70.0,100.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.017110412940382957 
M,used,down_bfragmentation,4,0.0,2.5,100.0,140.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.038823351263999939 
M,used,down_bfragmentation,4,0.0,2.5,140.0,200.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.012560553848743439 
M,used,down_bfragmentation,4,0.0,2.5,200.0,300.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.066514104604721069 
M,used,down_bfragmentation,4,0.0,2.5,300.0,600.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.034403815865516663 
M,used,down_bfragmentation,4,0.0,2.5,600.0,1000.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.030065994709730148 
M,used,down_bfragmentation,5,0.0,2.5,20.0,30.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.0063725211657583714 
M,used,down_bfragmentation,5,0.0,2.5,30.0,50.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.0046132197603583336 
M,used,down_bfragmentation,5,0.0,2.5,50.0,70.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.0028524375520646572 
M,used,down_bfragmentation,5,0.0,2.5,70.0,100.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.0057034711353480816 
M,used,down_bfragmentation,5,0.0,2.5,100.0,140.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.012941117398440838 
M,used,down_bfragmentation,5,0.0,2.5,140.0,200.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.0041868514381349087 
M,used,down_bfragmentation,5,0.0,2.5,200.0,300.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.022171368822455406 
M,used,down_bfragmentation,5,0.0,2.5,300.0,600.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.011467938311398029 
M,used,down_bfragmentation,5,0.0,2.5,600.0,1000.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))- -0.010021998547017574 
M,used,down_btempcorr,4,0.0,2.5,20.0,30.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.01649114117026329 
M,used,down_btempcorr,4,0.0,2.5,30.0,50.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.0031431633979082108 
M,used,down_btempcorr,4,0.0,2.5,50.0,70.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.013742920011281967 
M,used,down_btempcorr,4,0.0,2.5,70.0,100.0,0.0,1.0,1.14598+-0.00768627*log(x+19)*log(x+18)*(3-0.392337*log(x+18))-0.013123810291290283 
