OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula 
L,used,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x 
L,used,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x)*(1-(0.0475574+1.67398e-05*x+-3.51589e-08*x*x)) 
L,used,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x)*(1-(0.0449941+1.70354e-05*x+-3.6835e-08*x*x)) 
L,used,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x)*(1-(0.0159223)) 
L,used,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x)*(1+(0.0475574+1.67398e-05*x+-3.51589e-08*x*x)) 
L,used,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x)*(1+(0.0449941+1.70354e-05*x+-3.6835e-08*x*x)) 
L,used,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x)*(1+(0.0159223)) 
M,used,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x 
M,used,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x)*(1-(0.0979915+0.000186439*x+-1.95192e-07*x*x)) 
M,used,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x)*(1-(0.0902058+0.000196217*x+-2.05669e-07*x*x)) 
M,used,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x)*(1-(0.0400382)) 
M,used,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x)*(1+(0.0979915+0.000186439*x+-1.95192e-07*x*x)) 
M,used,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x)*(1+(0.0902058+0.000196217*x+-2.05669e-07*x*x)) 
M,used,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x)*(1+(0.0400382)) 
T,used,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,0.952323+2.08944/sqrt(x) 
T,used,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.952323+2.08944/sqrt(x))*(1-(0.192936+9.85801e-05*x+-1.75362e-08*x*x)) 
T,used,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.952323+2.08944/sqrt(x))*(1-(0.185148+9.73083e-05*x+-3.07825e-08*x*x)) 
T,used,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.952323+2.08944/sqrt(x))*(1-(0.0807811)) 
T,used,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.952323+2.08944/sqrt(x))*(1+(0.192936+9.85801e-05*x+-1.75362e-08*x*x)) 
T,used,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.952323+2.08944/sqrt(x))*(1+(0.185148+9.73083e-05*x+-3.07825e-08*x*x)) 
T,used,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.952323+2.08944/sqrt(x))*(1+(0.0807811)) 
L,used,central,4,0.0,2.5,20.0,1000.0,0.0,1.0,0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18)) 
L,used,central,5,0.0,2.5,20.0,1000.0,0.0,1.0,0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18)) 
L,used,down,4,0.0,2.5,20.0,30.0,0.0,1.0,0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.053769886493682861 
L,used,down,4,0.0,2.5,30.0,50.0,0.0,1.0,0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.015266244299709797 
L,used,down,4,0.0,2.5,50.0,70.0,0.0,1.0,0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.033111993223428726 
L,used,down,4,0.0,2.5,70.0,100.0,0.0,1.0,0.981028+3.46542e-07*log(x+19)*log(x+18)*(3-69.4533*log(x+18))-0.03585578128695488 
