OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula 
L,used,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x 
L,used,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x)*(1-(0.083685+-0.000104849*x+9.12824e-08*x*x)) 
L,used,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x)*(1-(0.050987+7.03101e-05*x+-1.09927e-07*x*x)) 
L,used,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x)*(1-(0.0381757)) 
L,used,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x)*(1+(0.083685+-0.000104849*x+9.12824e-08*x*x)) 
L,used,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x)*(1+(0.050987+7.03101e-05*x+-1.09927e-07*x*x)) 
L,used,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x)*(1+(0.0381757)) 
M,used,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.46818+-0.00104385*x+8.01998e-07*x*x+-2.02643/x 
M,used,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.46818+-0.00104385*x+8.01998e-07*x*x+-2.02643/x)*(1-(0.135289+0.000204028*x+-2.62114e-07*x*x)) 
M,used,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.46818+-0.00104385*x+8.01998e-07*x*x+-2.02643/x)*(1-(0.117844+0.000229929*x+-2.93825e-07*x*x)) 
M,used,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.46818+-0.00104385*x+8.01998e-07*x*x+-2.02643/x)*(1-(0.0658412)) 
M,used,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.46818+-0.00104385*x+8.01998e-07*x*x+-2.02643/x)*(1+(0.135289+0.000204028*x+-2.62114e-07*x*x)) 
M,used,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.46818+-0.00104385*x+8.01998e-07*x*x+-2.02643/x)*(1+(0.117844+0.000229929*x+-2.93825e-07*x*x)) 
M,used,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.46818+-0.00104385*x+8.01998e-07*x*x+-2.02643/x)*(1+(0.0658412)) 
T,used,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,0.864506+2.79354/sqrt(x) 
T,used,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.864506+2.79354/sqrt(x))*(1-(0.217324+0.000260466*x+-3.2424e-07*x*x)) 
T,used,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.864506+2.79354/sqrt(x))*(1-(0.203031+0.00025932*x+-3.26627e-07*x*x)) 
T,used,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.864506+2.79354/sqrt(x))*(1-(0.0867079)) 
T,used,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.864506+2.79354/sqrt(x))*(1+(0.217324+0.000260466*x+-3.2424e-07*x*x)) 
T,used,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.864506+2.79354/sqrt(x))*(1+(0.203031+0.00025932*x+-3.26627e-07*x*x)) 
T,used,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.864506+2.79354/sqrt(x))*(1+(0.0867079)) 
L,used,central,4,0.0,2.5,20.0,1000.0,0.0,1.0,0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18)) 
L,used,central,5,0.0,2.5,20.0,1000.0,0.0,1.0,0.986697+5.6664e-07*log(x+19)*log(x+18)*(3-105.134*log(x+18)) 
