DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.882297+0.00426142*log(x+19)*log(x+18)*(3-0.411195*log(x+18))" 
0, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.882297+0.00426142*log(x+19)*log(x+18)*(3-0.411195*log(x+18))" 
0, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.882297+0.00426142*log(x+19)*log(x+18)*(3-0.411195*log(x+18))-0.05439353734254837" 
0, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.882297+0.00426142*log(x+19)*log(x+18)*(3-0.411195*log(x+18))-0.016492579132318497" 
0, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.882297+0.00426142*log(x+19)*log(x+18)*(3-0.411195*log(x+18))-0.017301365733146667" 
0, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.882297+0.00426142*log(x+19)*log(x+18)*(3-0.411195*log(x+18))-0.014144605025649071" 
0, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.882297+0.00426142*log(x+19)*log(x+18)*(3-0.411195*log(x+18))-0.015795128419995308" 
0, used, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.882297+0.00426142*log(x+19)*log(x+18)*(3-0.411195*log(x+18))-0.016265010461211205" 
0, used, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.882297+0.00426142*log(x+19)*log(x+18)*(3-0.411195*log(x+18))-0.05125650018453598" 
0, used, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.882297+0.00426142*log(x+19)*log(x+18)*(3-0.411195*log(x+18))-0.08231847733259201" 
0, used, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.882297+0.00426142*log(x+19)*log(x+18)*(3-0.411195*log(x+18))-0.16305074095726013" 
0, used, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.882297+0.00426142*log(x+19)*log(x+18)*(3-0.411195*log(x+18))-0.021757414564490318" 
